dT	T (0)	dT (0)	Base Mean (0)	Body Mean (0)	Proj Mean (0)	Tip Mean (0)	Tip Th Mean (0)	Length (0)	dL (0)	DCTM (0)	DCBM (0)	T (1)	dT (1)	Base Mean (1)	Body Mean (1)	Proj Mean (1)	Tip Mean (1)	Tip Th Mean (1)	Length (1)	dL (1)	DCTM (1)	DCBM (1)	T (2)	dT (2)	Base Mean (2)	Body Mean (2)	Proj Mean (2)	Tip Mean (2)	Tip Th Mean (2)	Length (2)	dL (2)	DCTM (2)	DCBM (2)
11.000	12.000	11.000	386.222	629.776	214.496	141.079	152.087	11.273	-0.168	0.180	0.325	12.000	11.000	426.643	629.776	234.059	166.441	193.905	16.561	0.417	0.263	-0.130	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
12.000	13.000	12.000	433.056	627.149	220.408	141.667	153.235	11.744	0.471	0.180	-0.230	13.000	12.000	410.733	627.149	230.834	167.100	200.909	16.615	0.054	0.260	0.260	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
13.000	14.000	13.000	430.000	631.732	217.049	137.618	150.000	11.882	0.138	0.085	-0.111	14.000	13.000	398.724	631.732	223.491	157.265	179.944	16.569	-0.046	0.256	0.260	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
14.000	15.000	14.000	384.889	629.464	213.435	139.676	146.652	12.111	0.230	0.343	0.059	15.000	14.000	349.448	629.464	221.257	157.684	173.391	16.531	-0.038	0.188	0.325	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
15.000	16.000	15.000	343.718	642.489	210.222	132.000	140.478	12.636	0.525	0.287	0.176	16.000	15.000	329.148	642.489	224.337	152.316	180.300	16.482	-0.049	0.062	0.198	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
16.000	17.000	16.000	365.294	649.340	206.481	136.250	146.923	12.360	-0.276	-0.117	-0.087	17.000	16.000	349.630	649.340	223.320	148.389	164.111	16.474	-0.008	-0.062	-0.062	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
17.000	18.000	17.000	390.548	683.253	216.169	139.080	143.720	12.704	0.344	-0.123	-0.033	18.000	17.000	341.111	683.253	220.788	147.757	166.938	15.946	-0.528	-0.253	0.260	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
18.000	19.000	18.000	356.150	694.381	202.839	136.000	148.800	13.237	0.533	1.188	0.148	19.000	18.000	333.556	694.381	222.499	142.700	157.105	15.870	-0.076	0.062	0.065	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
19.000	20.000	19.000	367.487	674.150	206.115	133.800	145.682	13.467	0.230	0.144	0.029	20.000	19.000	310.704	674.150	225.779	140.261	152.533	15.545	-0.325	-0.117	0.320	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
20.000	21.000	20.000	414.744	668.655	209.313	135.913	146.929	13.340	-0.127	-0.050	-0.000	21.000	20.000	277.593	668.655	229.182	151.097	171.952	14.608	-0.937	-0.393	0.519	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
21.000	22.000	21.000	401.511	674.356	207.819	139.162	152.000	13.619	0.279	0.173	0.086	22.000	21.000	280.741	674.356	231.934	157.469	178.824	14.784	0.176	-0.134	-0.195	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
22.000	23.000	22.000	385.556	687.251	210.368	138.444	160.900	13.994	0.376	0.637	0.145	23.000	22.000	301.357	687.251	241.439	153.349	185.727	14.906	0.122	-0.130	-0.321	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
23.000	24.000	23.000	373.727	692.138	214.182	143.091	157.368	14.197	0.203	0.173	0.028	24.000	23.000	282.778	692.138	243.465	162.488	178.800	14.554	-0.352	-0.256	-0.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
24.000	25.000	24.000	381.067	678.543	219.855	145.912	161.550	14.286	0.089	0.086	-0.058	25.000	24.000	317.481	678.543	238.946	153.977	171.125	13.809	-0.745	0.069	1.102	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
25.000	26.000	25.000	369.500	655.595	217.583	133.212	153.722	14.191	-0.095	0.004	0.088	26.000	25.000	335.926	655.595	212.925	148.316	162.091	10.773	-3.036	0.077	3.054	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
26.000	27.000	26.000	398.442	666.294	220.276	139.290	149.696	14.213	0.022	-0.029	-0.087	27.000	26.000	311.444	666.294	218.890	143.971	160.579	10.754	-0.019	-0.006	-0.065	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
27.000	28.000	27.000	394.844	679.895	221.815	140.771	155.529	14.316	0.103	0.092	0.059	28.000	27.000	279.444	679.895	206.076	148.216	160.357	13.518	2.764	2.391	0.127	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
28.000	29.000	28.000	388.209	689.051	228.229	149.118	169.238	14.221	-0.095	0.174	0.145	29.000	28.000	313.825	689.051	205.623	150.083	159.095	13.483	-0.035	-0.013	-0.204	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
29.000	30.000	29.000	377.450	682.965	218.589	144.806	159.583	14.059	-0.162	-0.019	0.204	30.000	29.000	250.321	682.965	198.163	145.424	158.000	12.532	-0.951	-0.368	0.502	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
30.000	31.000	30.000	380.973	686.009	222.027	145.944	166.833	14.048	-0.011	0.145	0.059	31.000	30.000	252.345	686.009	203.651	149.667	159.706	11.434	-1.098	-1.078	0.206	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
31.000	32.000	31.000	370.590	685.864	225.294	148.419	164.412	14.029	-0.019	0.059	0.145	32.000	31.000	262.310	685.864	203.511	145.440	154.167	10.622	-0.812	-0.612	0.204	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
32.000	33.000	32.000	377.667	689.379	223.626	151.030	179.083	13.788	-0.241	-0.061	0.087	33.000	32.000	266.074	689.379	198.701	138.655	145.042	7.989	-2.633	-0.609	1.428	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
33.000	34.000	33.000	412.217	713.013	232.583	156.588	183.933	13.964	0.176	-0.115	-0.173	34.000	33.000	268.429	713.013	202.886	141.788	153.875	8.820	0.831	-0.357	-1.088	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
