 	T (0)	Base X (0)	Base Y (0)	Tip X (0)	Tip Y (0)	||[body,base]|| (0)	||[base,tip]||  (0)	||[base,tip]|| : [body,base] (0)	[base,tip] ? [body,base] (0)	?||[base,tip]|| : [body,base] (0)	||[tip(t-1),tip(t)]|| : [base,tip] (0)	||[base(t-1),base(t)]|| : [base,tip] (0)	T (1)	Base X (1)	Base Y (1)	Tip X (1)	Tip Y (1)	||[body,base]|| (1)	||[base,tip]||  (1)	||[base,tip]|| : [body,base] (1)	[base,tip] ? [body,base] (1)	?||[base,tip]|| : [body,base] (1)	||[tip(t-1),tip(t)]|| : [base,tip] (1)	||[base(t-1),base(t)]|| : [base,tip] (1)	T (2)	Base X (2)	Base Y (2)	Tip X (2)	Tip Y (2)	||[body,base]|| (2)	||[base,tip]||  (2)	||[base,tip]|| : [body,base] (2)	[base,tip] ? [body,base] (2)	?||[base,tip]|| : [body,base] (2)	||[tip(t-1),tip(t)]|| : [base,tip] (2)	||[base(t-1),base(t)]|| : [base,tip] (2)	T (3)	Base X (3)	Base Y (3)	Tip X (3)	Tip Y (3)	||[body,base]|| (3)	||[base,tip]||  (3)	||[base,tip]|| : [body,base] (3)	[base,tip] ? [body,base] (3)	?||[base,tip]|| : [body,base] (3)	||[tip(t-1),tip(t)]|| : [base,tip] (3)	||[base(t-1),base(t)]|| : [base,tip] (3)	T (4)	Base X (4)	Base Y (4)	Tip X (4)	Tip Y (4)	||[body,base]|| (4)	||[base,tip]||  (4)	||[base,tip]|| : [body,base] (4)	[base,tip] ? [body,base] (4)	?||[base,tip]|| : [body,base] (4)	||[tip(t-1),tip(t)]|| : [base,tip] (4)	||[base(t-1),base(t)]|| : [base,tip] (4)	T (5)	Base X (5)	Base Y (5)	Tip X (5)	Tip Y (5)	||[body,base]|| (5)	||[base,tip]||  (5)	||[base,tip]|| : [body,base] (5)	[base,tip] ? [body,base] (5)	?||[base,tip]|| : [body,base] (5)	||[tip(t-1),tip(t)]|| : [base,tip] (5)	||[base(t-1),base(t)]|| : [base,tip] (5)
21	0.000	39.780	13.390	43.095	11.115	18.327	4.021	3.903	71.525	NaN	NaN	NaN	0.000	44.005	13.260	45.500	12.805	22.370	1.563	1.563	34.958	NaN	NaN	NaN	0.000	45.110	16.445	52.130	15.860	22.743	7.044	7.029	159.857	NaN	NaN	NaN	14.000	44.070	12.480	44.265	12.415	22.836	0.206	0.206	4.694	0.206	NaN	NaN	76.000	47.840	11.375	48.880	10.920	25.118	1.135	1.130	28.388	1.130	NaN	NaN	82.000	44.460	12.025	45.175	11.765	23.372	0.761	0.761	17.779	0.761	NaN	NaN
22	1.000	39.780	13.390	43.290	10.985	18.327	4.255	4.131	75.708	0.228	0.234	NaN	1.000	43.810	13.390	45.695	12.740	22.146	1.994	1.993	44.126	0.430	0.206	-0.227	1.000	45.175	16.445	52.195	15.860	22.807	7.044	7.029	160.313	1.962E-4	0.065	0.065	15.000	44.070	12.350	44.330	12.220	22.899	0.291	0.288	6.599	0.083	0.145	0.058	77.000	47.710	11.505	48.230	11.180	25.036	0.613	0.595	14.906	-0.535	-0.689	-0.179	83.000	44.850	11.765	45.825	11.440	23.660	1.028	1.028	24.315	0.267	0.719	0.452
23	2.000	40.885	12.805	43.485	10.790	19.568	3.289	3.150	61.634	-0.981	0.274	1.232	2.000	43.875	13.390	45.825	12.675	22.208	2.077	2.074	46.048	0.081	0.144	0.061	2.000	45.045	16.445	52.130	15.860	22.678	7.109	7.093	160.858	0.064	-0.065	-0.130	16.000	43.940	12.415	44.265	12.220	22.755	0.379	0.371	8.437	0.083	-0.056	-0.145	78.000	47.710	11.505	49.140	11.050	24.933	1.501	1.501	37.412	0.905	0.907	NaN	84.000	44.850	11.700	45.045	11.505	23.599	0.276	0.248	5.856	-0.780	-0.598	0.046
24	3.000	40.625	12.935	43.615	10.660	19.194	3.757	3.604	69.167	0.454	0.182	-0.286	3.000	43.680	13.455	46.020	12.610	21.921	2.488	2.484	54.456	0.411	0.205	-0.205	3.000	45.110	16.510	52.195	15.795	22.659	7.121	7.114	161.205	0.021	0.071	0.058	17.000	43.680	12.480	44.070	12.155	22.592	0.508	0.476	10.744	0.105	-0.108	-0.241	79.000	45.695	11.960	48.295	11.245	23.926	2.697	2.692	64.419	1.192	-0.866	-2.064	85.000	44.850	11.765	45.370	11.440	23.537	0.613	0.598	14.073	0.350	0.310	-0.034
25	4.000	40.300	13.065	43.810	10.660	18.989	4.255	4.136	78.543	0.533	0.161	-0.342	4.000	43.745	13.520	46.085	12.675	22.108	2.488	2.484	54.912	-3.537E-4	0.039	0.039	4.000	44.850	16.510	52.195	15.795	22.540	7.380	7.370	166.127	0.256	NaN	-0.259	18.000	43.875	12.285	44.070	12.090	22.820	0.276	0.249	5.678	-0.227	0.046	0.276	80.000	45.825	11.895	48.165	11.115	24.111	2.467	2.467	59.471	-0.226	-0.082	0.144	86.000	45.305	11.765	47.385	10.985	23.762	2.221	2.220	52.762	1.623	2.046	0.426
26	5.000	40.560	12.935	43.810	10.530	19.339	4.043	3.894	75.298	-0.243	0.077	0.286	5.000	43.225	13.780	46.150	12.675	21.598	3.127	3.117	67.330	0.634	0.061	-0.578	5.000	44.655	16.510	52.065	15.860	22.412	7.438	7.425	166.397	0.054	-0.135	-0.194	19.000	43.940	12.415	44.135	12.155	22.838	0.325	0.269	6.152	0.021	-0.013	-0.065	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	87.000	46.215	11.570	49.595	10.205	24.214	3.645	3.639	88.112	1.419	2.341	0.917
27	6.000	42.120	11.830	43.940	10.595	21.183	2.199	2.147	45.478	-1.747	0.071	1.911	6.000	43.550	13.845	46.085	12.675	21.903	2.792	2.754	60.320	-0.363	-0.059	0.268	6.000	44.720	16.510	52.065	15.860	22.512	7.374	7.364	165.785	-0.060	NaN	0.065	20.000	43.745	12.285	44.070	12.090	22.636	0.379	0.372	8.412	0.102	-0.022	-0.100	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	88.000	44.395	12.220	49.725	10.270	23.248	5.676	5.674	131.896	2.035	0.100	-1.933
28	7.000	41.860	11.960	43.940	10.530	20.894	2.524	2.460	51.393	0.313	0.037	-0.288	7.000	43.355	13.975	46.020	12.740	21.680	2.937	2.895	62.762	0.141	-0.086	-0.232	7.000	44.720	16.510	52.065	15.795	22.512	7.380	7.373	165.988	0.009	0.006	NaN	21.000	43.225	12.610	43.875	12.155	22.164	0.793	0.765	16.963	0.394	-0.197	-0.612	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	89.000	44.980	12.090	49.725	10.400	23.597	5.037	5.036	118.841	-0.637	-0.044	0.595
29	8.000	41.210	12.415	43.940	10.465	20.157	3.355	3.258	65.682	0.799	0.038	-0.793	8.000	43.420	13.910	46.020	12.805	21.768	2.825	2.804	61.026	-0.091	-0.025	0.085	8.000	44.720	16.445	52.065	15.795	22.495	7.374	7.358	165.519	-0.015	NaN	0.006	22.000	43.615	12.350	43.940	12.090	22.758	0.416	0.393	8.949	-0.372	0.091	0.467	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	90.000	45.630	12.025	49.660	10.465	23.967	4.321	4.316	103.445	-0.720	-0.084	0.630
30	9.000	41.665	11.960	44.070	10.465	20.556	2.832	2.791	57.367	-0.468	0.110	0.627	9.000	43.355	14.040	46.020	12.805	21.492	2.937	2.896	62.243	0.093	NaN	-0.114	9.000	45.110	16.510	52.000	15.795	22.714	6.927	6.922	157.233	-0.436	-0.065	0.381	23.000	43.355	12.415	44.200	12.025	22.553	0.931	0.927	20.901	0.534	0.263	-0.263	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	91.000	45.890	11.895	49.660	10.400	24.049	4.056	4.049	97.382	-0.267	0.024	0.290
31	10.000	41.860	11.830	44.135	10.465	20.821	2.653	2.621	54.566	-0.170	0.056	0.234	10.000	43.485	13.975	46.020	12.805	21.680	2.792	2.752	59.674	-0.144	NaN	0.145	10.000	44.850	16.445	52.065	15.860	22.521	7.239	7.225	162.722	0.303	0.060	-0.254	24.000	42.900	12.480	44.135	11.960	22.080	1.340	1.338	29.541	0.411	-0.035	-0.445	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	92.000	45.240	12.155	49.595	10.660	23.761	4.604	4.604	109.402	0.555	-0.146	-0.699
32	11.000	41.795	11.830	44.200	10.400	20.821	2.798	2.766	57.583	0.145	0.089	-0.056	11.000	43.485	13.975	45.955	12.805	21.743	2.733	2.689	58.474	-0.063	-0.059	NaN	11.000	44.655	16.380	52.000	15.795	22.402	7.368	7.352	164.703	0.127	-0.060	-0.189	25.000	43.550	12.285	44.265	11.960	22.737	0.785	0.782	17.787	-0.556	0.118	0.672	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	93.000	46.800	11.700	49.140	10.790	24.563	2.511	2.507	61.584	-2.097	-0.471	1.619
33	12.000	41.665	11.895	44.265	10.270	20.665	3.066	3.023	62.467	0.257	0.124	-0.145	12.000	43.355	14.040	45.955	12.805	21.572	2.878	2.834	61.144	0.145	NaN	-0.145	12.000	44.850	16.380	52.065	15.860	22.550	7.234	7.211	162.616	-0.141	0.060	0.194	26.000	44.005	12.285	44.330	12.025	23.166	0.416	0.392	9.080	-0.390	0.010	0.355	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	94.000	46.410	11.830	48.230	11.115	24.378	1.955	1.953	47.599	-0.555	-0.966	-0.411
34	13.000	41.340	12.155	44.395	10.270	20.351	3.590	3.540	72.045	0.517	0.111	-0.413	13.000	43.290	14.040	45.955	12.805	21.589	2.937	2.898	62.576	0.064	NaN	-0.059	13.000	44.850	16.380	52.065	15.860	22.624	7.234	7.210	163.119	-0.001	NaN	NaN	27.000	44.265	12.285	44.655	12.090	23.249	0.436	0.432	10.051	0.040	0.262	0.233	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	95.000	45.890	11.960	48.165	11.115	24.090	2.427	2.425	58.423	0.473	-0.061	-0.533
35	14.000	41.405	12.090	44.590	10.140	20.471	3.735	3.684	75.408	0.143	0.234	0.089	14.000	43.485	14.040	45.890	12.870	21.823	2.674	2.628	57.342	-0.271	-0.087	0.175	14.000	44.655	16.380	52.130	15.860	22.485	7.493	7.468	167.927	0.258	0.065	-0.195	28.000	44.460	12.025	44.395	11.895	23.375	0.145	-0.018	-0.418	-0.450	0.291	0.145	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	96.000	46.150	11.895	47.970	11.115	24.193	1.980	1.973	47.743	-0.452	-0.179	0.265
36	15.000	41.275	12.155	44.720	10.010	20.351	4.058	3.999	81.390	0.316	0.179	-0.145	15.000	43.550	14.105	45.760	12.935	21.886	2.501	2.439	53.379	-0.189	-0.145	0.027	15.000	44.655	16.445	52.000	15.860	22.485	7.368	7.349	165.257	-0.119	-0.130	-0.005	29.000	44.525	12.025	44.525	11.895	23.458	0.130	0.044	1.022	0.061	7.960E-18	3.980E-18	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	97.000	42.120	13.000	46.670	11.700	21.442	4.732	4.723	101.273	2.750	-1.411	-4.179
37	16.000	41.210	12.155	44.850	9.945	20.291	4.258	4.205	85.328	0.206	0.145	-0.056	16.000	43.550	14.040	45.630	13.000	21.903	2.326	2.281	49.956	-0.158	-0.145	0.029	16.000	44.655	16.445	52.000	15.925	22.485	7.363	7.340	165.037	-0.010	-0.005	NaN	30.000	44.135	12.285	44.525	11.960	23.166	0.508	0.475	10.993	0.431	-0.042	-0.466	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	98.000	44.915	12.155	46.670	11.505	23.556	1.872	1.871	44.071	-2.852	0.068	2.914
