 	T (0)	Base X (0)	Base Y (0)	Tip X (0)	Tip Y (0)	||[body,base]|| (0)	||[base,tip]||  (0)	||[base,tip]|| : [body,base] (0)	[base,tip] ? [body,base] (0)	?||[base,tip]|| : [body,base] (0)	||[tip(t-1),tip(t)]|| : [base,tip] (0)	||[base(t-1),base(t)]|| : [base,tip] (0)	T (1)	Base X (1)	Base Y (1)	Tip X (1)	Tip Y (1)	||[body,base]|| (1)	||[base,tip]||  (1)	||[base,tip]|| : [body,base] (1)	[base,tip] ? [body,base] (1)	?||[base,tip]|| : [body,base] (1)	||[tip(t-1),tip(t)]|| : [base,tip] (1)	||[base(t-1),base(t)]|| : [base,tip] (1)	T (2)	Base X (2)	Base Y (2)	Tip X (2)	Tip Y (2)	||[body,base]|| (2)	||[base,tip]||  (2)	||[base,tip]|| : [body,base] (2)	[base,tip] ? [body,base] (2)	?||[base,tip]|| : [body,base] (2)	||[tip(t-1),tip(t)]|| : [base,tip] (2)	||[base(t-1),base(t)]|| : [base,tip] (2)
30	9.000	12.350	9.880	8.515	19.110	6.032	9.995	9.674	58.356	0.056	0.110	0.060	9.000	16.770	8.580	15.860	24.180	3.596	15.627	15.031	54.046	0.341	0.195	-0.130	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
31	10.000	12.350	9.815	8.450	19.175	5.941	10.140	9.823	58.356	0.148	0.085	-0.060	10.000	16.770	8.840	15.860	24.375	3.864	15.562	14.960	57.798	-0.071	0.195	0.260	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
32	11.000	12.285	10.140	8.450	19.370	6.098	9.995	9.726	59.306	-0.097	0.180	0.325	11.000	16.770	8.710	15.795	24.635	3.626	15.955	15.171	55.010	0.211	0.263	-0.130	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
33	12.000	12.415	9.945	8.450	19.565	6.007	10.405	10.124	60.815	0.398	0.180	-0.230	12.000	16.770	8.970	15.795	24.895	3.990	15.955	15.357	61.284	0.187	0.260	0.260	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
34	13.000	12.545	9.880	8.385	19.630	5.864	10.600	10.334	60.595	0.210	0.085	-0.111	13.000	16.770	9.230	15.860	25.155	4.169	15.951	15.473	64.503	0.116	0.256	0.260	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
35	14.000	12.545	9.945	8.125	19.890	5.644	10.883	10.537	59.471	0.203	0.343	0.059	14.000	16.770	9.555	15.990	25.350	4.093	15.814	15.416	63.096	-0.058	0.188	0.325	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
36	15.000	12.545	10.140	7.865	20.085	5.827	10.991	10.689	62.285	0.153	0.287	0.176	15.000	16.705	9.750	16.055	25.415	4.192	15.678	15.463	64.828	0.048	0.062	0.198	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
37	16.000	12.610	10.075	7.735	19.890	5.747	10.959	10.749	61.770	0.060	-0.117	-0.087	16.000	16.640	9.685	15.990	25.350	4.192	15.678	15.463	64.828	-8.882E-15	-0.062	-0.062	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
38	17.000	12.545	10.010	8.190	19.955	5.969	10.857	10.635	63.485	-0.114	-0.123	-0.033	17.000	16.640	9.945	15.860	25.090	4.854	15.165	14.904	72.340	-0.559	-0.253	0.260	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
39	18.000	12.610	10.205	7.475	20.930	6.039	11.891	11.762	71.035	1.127	1.188	0.148	18.000	16.640	10.010	15.925	25.155	4.854	15.162	14.913	72.383	0.009	0.062	0.065	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
40	19.000	12.545	10.205	7.280	20.995	6.151	12.006	11.840	72.826	0.078	0.144	0.029	19.000	16.705	10.335	15.730	25.025	5.168	14.722	14.485	74.863	-0.428	-0.117	0.320	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
41	20.000	12.545	10.205	7.540	21.060	5.902	11.953	11.703	69.075	-0.137	-0.050	NaN	20.000	16.705	10.855	15.795	24.635	5.434	13.810	13.572	73.752	-0.913	-0.393	0.519	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
42	21.000	12.480	10.270	7.410	21.190	6.045	12.040	11.804	71.360	0.101	0.173	0.086	21.000	16.705	10.660	15.860	24.505	5.305	13.871	13.637	72.345	0.065	-0.134	-0.195	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
43	22.000	12.415	10.400	7.020	21.710	6.130	12.531	12.387	75.927	0.583	0.637	0.145	22.000	16.640	10.335	15.860	24.375	5.065	14.062	13.752	69.662	0.115	-0.130	-0.321	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
44	23.000	12.350	10.400	6.890	21.840	6.166	12.676	12.514	77.165	0.127	0.173	0.028	23.000	16.640	10.335	15.795	24.115	5.065	13.806	13.486	68.310	-0.267	-0.256	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
45	24.000	12.350	10.335	6.695	21.840	5.747	12.820	12.564	72.197	0.050	0.086	-0.058	24.000	16.640	11.440	15.730	24.180	5.709	12.772	12.496	71.335	-0.989	0.069	1.102	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
46	25.000	12.285	10.400	6.435	21.710	4.648	12.733	11.928	55.440	-0.635	0.004	0.088	25.000	16.510	14.495	15.600	24.245	7.257	9.792	9.596	69.636	-2.900	0.077	3.054	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
47	26.000	12.350	10.335	6.630	21.775	4.508	12.790	11.959	53.911	0.031	-0.029	-0.087	26.000	16.510	14.430	15.665	24.245	7.200	9.851	9.648	69.463	0.052	-0.006	-0.065	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
48	27.000	12.350	10.400	6.825	21.970	4.556	12.821	11.857	54.021	-0.102	0.092	0.059	27.000	16.510	14.560	13.780	26.260	7.257	12.014	11.339	82.286	1.691	2.391	0.127	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
49	28.000	12.285	10.530	6.565	22.035	4.689	12.848	12.097	56.725	0.240	0.174	0.145	28.000	16.575	14.365	14.170	26.325	7.143	12.199	11.556	82.548	0.217	-0.013	-0.204	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
50	29.000	12.220	10.725	6.890	22.165	4.928	12.621	11.551	56.928	-0.547	-0.019	0.204	29.000	16.575	14.885	13.650	25.805	7.438	11.305	10.623	79.016	-0.934	-0.368	0.502	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
51	30.000	12.220	10.790	6.825	22.295	4.740	12.707	11.727	55.580	0.176	0.145	0.059	30.000	16.510	15.080	13.520	24.635	7.516	10.012	9.193	69.091	-1.430	-1.078	0.206	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
52	31.000	12.155	10.920	6.825	22.360	4.831	12.621	11.639	56.235	-0.087	0.059	0.145	31.000	16.445	15.275	14.755	24.245	7.639	9.128	8.772	67.009	-0.421	-0.612	0.204	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
53	32.000	12.090	10.985	6.695	22.230	4.316	12.472	11.080	47.823	-0.559	-0.061	0.087	32.000	16.380	16.705	15.535	23.725	8.363	7.071	6.899	57.692	-1.874	-0.609	1.428	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
54	33.000	12.220	10.855	6.825	22.165	4.464	12.531	11.581	51.701	0.501	-0.115	-0.173	33.000	16.380	15.600	15.015	23.270	7.781	7.791	7.476	58.174	0.578	-0.357	-1.088	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
