dT	T (0)	dT (0)	Base Mean (0)	Body Mean (0)	Proj Mean (0)	Tip Mean (0)	Tip Th Mean (0)	Length (0)	dL (0)	DCTM (0)	DCBM (0)	T (1)	dT (1)	Base Mean (1)	Body Mean (1)	Proj Mean (1)	Tip Mean (1)	Tip Th Mean (1)	Length (1)	dL (1)	DCTM (1)	DCBM (1)	T (2)	dT (2)	Base Mean (2)	Body Mean (2)	Proj Mean (2)	Tip Mean (2)	Tip Th Mean (2)	Length (2)	dL (2)	DCTM (2)	DCBM (2)	T (3)	dT (3)	Base Mean (3)	Body Mean (3)	Proj Mean (3)	Tip Mean (3)	Tip Th Mean (3)	Length (3)	dL (3)	DCTM (3)	DCBM (3)	T (4)	dT (4)	Base Mean (4)	Body Mean (4)	Proj Mean (4)	Tip Mean (4)	Tip Th Mean (4)	Length (4)	dL (4)	DCTM (4)	DCBM (4)	T (5)	dT (5)	Base Mean (5)	Body Mean (5)	Proj Mean (5)	Tip Mean (5)	Tip Th Mean (5)	Length (5)	dL (5)	DCTM (5)	DCBM (5)
11.000	12.000	11.000	146.421	611.048	133.059	126.400	135.077	3.271	0.111	0.089	-0.056	12.000	11.000	158.710	611.048	137.246	124.828	130.565	3.171	0.027	-0.059	0.000	12.000	11.000	182.093	611.048	133.940	117.160	130.625	8.042	0.176	-0.060	-0.189	26.000	11.000	136.278	613.819	131.458	127.125	133.533	1.085	-0.731	0.118	0.672	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	94.000	11.000	133.818	624.863	129.333	128.440	132.824	3.018	-2.181	-0.471	1.619
12.000	13.000	12.000	150.763	611.624	133.650	124.680	134.500	3.593	0.322	0.124	-0.145	13.000	12.000	166.179	611.624	137.010	124.357	132.059	3.282	0.111	0.000	-0.145	13.000	12.000	176.703	611.624	134.442	117.708	124.077	7.847	-0.195	0.060	0.194	27.000	12.000	132.167	615.929	131.081	130.962	138.789	0.622	-0.463	0.010	0.355	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	95.000	12.000	135.515	624.900	129.117	127.548	134.211	2.425	-0.593	-0.966	-0.411
13.000	14.000	13.000	159.478	610.960	133.711	121.148	128.375	4.228	0.636	0.111	-0.413	14.000	13.000	164.500	610.960	136.712	120.357	130.286	3.458	0.176	0.000	-0.059	14.000	13.000	173.853	610.960	134.564	121.375	127.375	7.847	0.000	0.000	0.000	28.000	13.000	134.976	613.827	127.240	127.222	132.520	0.752	0.130	0.262	0.233	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	96.000	13.000	137.133	625.611	132.445	126.231	129.609	2.869	0.444	-0.061	-0.533
14.000	15.000	14.000	151.432	612.876	133.029	125.963	133.429	4.488	0.260	0.234	0.089	15.000	14.000	156.889	612.876	136.570	126.464	132.789	3.041	-0.417	-0.087	0.175	15.000	14.000	171.850	612.876	136.113	123.654	131.385	8.226	0.379	0.065	-0.195	29.000	14.000	138.579	616.621	134.000	134.000	140.500	0.192	-0.561	0.291	0.145	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	97.000	14.000	135.556	625.203	129.358	126.292	133.714	2.555	-0.314	-0.179	0.265
15.000	16.000	15.000	154.816	612.869	131.182	123.458	133.091	4.607	0.119	0.179	-0.145	16.000	15.000	171.889	612.869	138.419	126.667	137.500	2.957	-0.084	-0.145	0.027	16.000	15.000	170.622	612.869	134.845	122.692	134.545	7.958	-0.268	-0.130	-0.005	30.000	15.000	136.467	613.554	130.167	130.167	161.000	0.393	0.201	7.960E-18	3.980E-18	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	98.000	15.000	189.444	635.013	146.958	131.037	138.118	6.117	3.562	-1.411	-4.179
16.000	17.000	16.000	152.571	611.997	131.098	123.417	136.000	4.810	0.203	0.145	-0.056	17.000	16.000	162.600	611.997	137.353	127.103	146.857	2.727	-0.230	-0.145	0.029	17.000	16.000	169.892	611.997	134.006	121.586	128.118	8.004	0.046	-0.005	0.000	31.000	16.000	132.636	620.148	128.972	128.880	137.882	0.928	0.536	-0.042	-0.466	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	99.000	16.000	134.310	627.999	130.442	125.391	134.167	2.436	-3.681	0.068	2.914
17.000	18.000	17.000	169.348	616.490	139.581	125.917	134.667	5.943	1.133	0.035	-0.883	18.000	17.000	160.763	616.490	137.073	129.800	140.400	2.773	0.046	-0.145	-0.120	18.000	17.000	173.769	616.490	133.872	128.286	134.636	8.069	0.065	-0.061	-0.122	32.000	17.000	137.316	620.920	129.435	127.360	137.933	1.039	0.111	0.121	-0.097	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	100.000	17.000	212.100	637.082	151.570	131.957	135.944	6.121	3.685	-0.083	-3.371
18.000	19.000	18.000	174.326	613.643	140.474	125.560	133.467	6.479	0.536	0.145	-0.345	19.000	18.000	157.806	613.643	136.702	126.964	136.789	2.857	0.084	0.028	-0.060	19.000	18.000	170.765	613.643	133.423	122.615	131.167	7.866	-0.203	-0.065	0.060	33.000	18.000	136.000	619.673	131.786	131.333	137.800	0.525	-0.514	-0.046	0.414	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	101.000	18.000	135.432	624.193	132.318	126.577	136.556	2.704	-3.418	0.389	3.470
19.000	20.000	19.000	187.062	614.456	144.165	120.815	129.562	7.199	0.720	-0.034	-0.669	20.000	19.000	162.667	614.456	139.916	126.143	143.375	2.877	0.019	-0.026	-0.059	20.000	19.000	164.250	614.456	134.164	125.448	130.792	7.441	-0.425	-0.198	0.069	34.000	19.000	136.625	619.294	131.404	131.417	139.000	1.058	0.533	0.007	-0.409	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	102.000	19.000	201.025	633.617	148.330	130.233	139.083	6.457	3.754	0.123	-3.412
20.000	21.000	20.000	190.196	615.167	145.565	125.500	144.000	7.291	0.092	0.034	-0.089	21.000	20.000	172.167	615.167	144.717	134.750	148.100	2.877	0.000	-0.059	0.000	21.000	20.000	162.138	615.167	133.238	124.769	132.600	7.284	-0.157	-0.061	0.069	35.000	20.000	137.047	622.446	133.706	134.208	141.333	0.817	-0.241	0.152	0.325	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	103.000	20.000	212.625	638.946	150.561	127.963	141.125	6.595	0.138	-0.123	-0.144
